nome,endereço,telefone,aniversário,cpf
Nathan Rocha,"Trevo Letícia Machado, 7, Estrela Do Oriente, 01768-964 Sales do Galho / BA",78-97314-1725,23/09/1947,975.148.360-39
Sra. Eloá Pimenta,"Pátio de Sales, 45, Santa Rosa, 05519-792 Sousa / AM",44-95922-5364,07/07/1961,812.470.653-08
Mirella Gomes,"Núcleo Gustavo Cirino, 24, Marieta 3ª Seção, 95049-442 Novais / BA",25-94652-1086,08/01/1969,643.795.108-75
Carolina Santos,"Vila Correia, 6, Taquaril, 06484418 Fonseca de Vasconcelos / RN",95-91543-5593,22/01/1973,126.950.784-20
Júlia Rios,"Vereda Araújo, 71, Vila Aeroporto Jaraguá, 74910655 Guerra / BA",78-97777-1809,13/02/1969,705.823.691-77
Isadora Siqueira,"Morro de Pires, 82, Calafate, 62933-029 Camargo / DF",32-91905-5199,09/10/1945,315.627.498-46
Emilly Aragão,"Aeroporto Paulo Barbosa, 5, Vila Oeste, 38660041 Ramos Verde / GO",76-94993-9574,10/01/1972,457.028.196-67
Raul Mendes,"Lagoa Maria Eduarda Martins, 14, Rio Branco, 59904554 Andrade do Galho / BA",98-91229-3218,18/08/1996,519.832.764-64
Murilo Novaes,"Viela de Jesus, 29, Conjunto Capitão Eduardo, 69225-094 Pinto de Minas / PR",20-91336-7358,25/10/2002,912.548.036-70
Natália Duarte,"Esplanada Hellena Carvalho, 3, Ouro Minas, 09328-007 Pastor / SP",81-95919-3670,26/06/1956,153.297.084-60
Liz Brito,"Passarela Peixoto, Vila São Dimas, 93389804 Moura das Flores / SP",31-98028-8880,09/03/1960,624.153.907-80
Helena Montenegro,"Condomínio Emanuel Brito, 2, Vila Nova Cachoeirinha 2ª Seção, 22159-511 Azevedo / MA",20-94285-7836,05/02/1937,537.081.429-50
Clarice Barbosa,"Morro de Oliveira, 540, Serra Do Curral, 88834-163 Leão / RS",13-93877-3622,03/01/1946,742.153.806-26
Aurora Andrade,"Morro de Guerra, Antonio Ribeiro De Abreu 1ª Seção, 81959-548 Novaes / AC",97-92285-6775,21/03/1974,834.210.569-51
Rafael Almeida,"Morro Ryan Ferreira, 358, Das Industrias I, 61030204 Souza Verde / RR",24-95510-6139,03/09/1940,823.091.675-68
Dra. Antonella da Mota,"Vila de Porto, 75, Madre Gertrudes, 00807256 Monteiro da Praia / MG",72-98999-7980,03/09/1961,956.728.034-74
Sr. Paulo da Cruz,"Vale de Lopes, 110, Vila Inestan, 19640419 Freitas de Minas / PA",10-94721-6415,07/07/1979,314.287.065-26
Sr. Erick Lopes,"Morro Nunes, Venda Nova, 05233449 Sá / GO",40-93203-5740,29/10/1997,123.064.985-98
Alexia Cunha,"Passarela de Nascimento, Alto Vera Cruz, 28623391 Alves do Amparo / MS",36-95329-9661,27/10/1941,345.712.906-16
João Nascimento,"Vereda de Rocha, 5, João Alfredo, 64070864 Nunes / SC",35-93893-6476,01/11/1943,867.932.410-87
Juliana Lopes,"Trevo Ester Siqueira, 73, Vila Engenho Nogueira, 12443-852 Cavalcante de Minas / ES",28-99846-3756,22/11/1987,852.619.734-73
Pedro Lucas Guerra,"Feira Stella Correia, 57, Marilandia, 30094402 Pimenta / SP",74-95769-3557,02/12/1997,932.687.140-13
Luiz Felipe da Rocha,"Praça Novais, Vila Jardim São José, 55272683 Teixeira / GO",92-96378-9305,25/06/1997,063.718.425-44
Danilo Casa Grande,"Travessa de Azevedo, 75, Vitoria Da Conquista, 85267491 Moura Grande / DF",36-93058-6809,20/05/1984,615.302.879-95
Dr. João Lima,"Vereda de Sales, 406, Novo Das Industrias, 05688-565 Novaes do Oeste / BA",91-94180-7433,23/03/1978,964.752.318-19
Nicole Rodrigues,"Distrito Casa Grande, 9, Conjunto São Francisco De Assis, 07005809 Cavalcanti / AP",33-96440-1995,06/03/1947,763.918.402-96
Maria Cecília Lima,"Via de da Conceição, 44, Conjunto Lagoa, 96062806 Marques / ES",19-92020-4730,03/09/1938,392.710.854-50
Raquel Nunes,"Recanto Ana Vitória Moraes, 726, Venda Nova, 06437179 Silva / AP",49-99225-8755,28/06/1970,981.756.423-19
Yuri Melo,"Colônia Viana, 22, Novo Aarão Reis, 00704-760 Siqueira / GO",77-95705-2763,28/03/1995,049.816.573-66
Agatha Pereira,"Parque Peixoto, 981, Itaipu, 01909-969 Lima / AC",67-97530-4042,09/03/1940,985.042.613-60
Alícia Borges,"Loteamento Esther Fernandes, 76, São Pedro, 34473-958 Porto da Prata / CE",31-99191-4254,23/09/1949,254.397.168-82
Sr. Heitor da Mota,"Lago Nogueira, 2, Canadá, 29993-483 da Cunha de Goiás / MS",47-98417-2350,01/09/1968,194.653.780-20
Julia Ramos,"Largo de Sampaio, 8, Goiania, 35208-521 Sampaio / BA",92-93960-2228,10/08/2004,246.981.307-78
Sofia Pimenta,"Recanto Oliver Pires, 8, Custodinha, 33061643 Mendonça / SE",65-99881-9796,11/08/1996,380.769.125-12
Breno Rodrigues,"Recanto Dante Fernandes, 55, Vila Ecológica, 55394645 Nogueira de Goiás / RN",26-96038-3173,14/02/1936,456.730.291-52
Theodoro Souza,"Praia Vinícius Araújo, 105, Vila Nova Dos Milionarios, 67583630 Pinto Verde / MA",61-92792-8284,22/07/1970,259.318.706-95
Luiz Gustavo Casa Grande,"Estrada de Ramos, 87, Esplanada, 77955006 Moraes de Lopes / ES",91-94788-1597,03/07/1968,945.260.183-33
Ester Montenegro,"Residencial Borges, 5, Conjunto Califórnia Ii, 00617-668 Pastor das Flores / RR",68-97550-4377,10/10/1955,609.472.158-67
Ana Lívia Brito,"Trecho Vasconcelos, 49, Vila Santa Monica 2ª Seção, 13846-591 Pastor de Minas / MT",64-91359-7224,28/11/1990,406.721.893-13
Emanuella Sales,"Rodovia Bárbara Carvalho, 26, Vila Das Oliveiras, 65896-981 Abreu de Sampaio / TO",94-99726-4797,10/03/1994,672.490.185-58
Arthur Cassiano,"Praia Ísis Farias, 76, Guaratã, 30215740 Campos de Minas / PA",57-99924-7691,21/08/1987,216.097.458-76
Hadassa Moreira,"Avenida de Silveira, 13, Andiroba, 95716474 Moura de Mendonça / SE",96-93045-9130,18/12/1984,985.172.306-12
Cecília Silva,"Esplanada Jesus, Acaiaca, 60757259 Martins de da Rocha / RO",40-99338-8373,09/01/1987,639.154.207-43
Gabrielly Rocha,"Travessa das Neves, 9, Camponesa 1ª Seção, 51056963 Costa Verde / DF",71-92799-6214,11/06/1947,932.541.076-16
Anna Liz Cardoso,"Quadra de Fernandes, Das Industrias I, 02064628 Lima da Mata / GO",29-99320-4061,12/06/1933,840.562.913-06
Beatriz Teixeira,"Chácara Valentim Azevedo, 9, Outro, 59714-797 das Neves de Sousa / SC",28-94042-8151,30/04/2000,614.258.703-17
Apollo Peixoto,"Lago da Rosa, 6, Aparecida 7ª Seção, 79821886 Gonçalves / MA",51-94396-1576,19/10/1995,325.671.890-68
Luan Pimenta,"Lagoa Gabrielly Fogaça, 421, Vila Santo Antônio Barroquinha, 67618105 Lima das Pedras / RS",83-94304-6175,02/10/1999,507.693.814-48
Srta. Vitória Ferreira,"Viela de Lopes, 50, Liberdade, 30507-938 Rodrigues da Praia / SE",37-93373-1275,21/02/1948,692.430.178-96
Yan Pacheco,"Vereda Almeida, 4, João Alfredo, 71064375 Oliveira do Sul / DF",30-97388-2680,12/05/1980,952.147.086-02
Maria Júlia Marques,"Avenida Anna Liz das Neves, 33, Santa Cruz, 05472134 Vieira Verde / PE",87-99905-2734,26/03/1959,453.921.607-43
Cauê Peixoto,"Condomínio Davi Miguel Rocha, Vila Oeste, 96442475 Novais / MS",54-97393-8420,16/08/1963,319.764.085-39
Dr. Thiago da Conceição,"Recanto Freitas, 7, Vila Copacabana, 89862-486 Guerra de Leão / RJ",20-93068-8939,14/08/2005,067.238.914-22
Sr. Josué Barros,"Pátio Marques, 20, São Jorge 2ª Seção, 30952970 Abreu / MT",17-93224-8881,02/09/1972,608.437.952-47
Carlos Eduardo Casa Grande,"Fazenda Manuela Castro, 39, Tirol, 29308-429 Melo / AC",30-97502-7764,02/11/1976,953.461.278-28
Theo Costa,"Jardim Ravy Campos, 36, Vila São João Batista, 36193-787 Santos / RR",51-92505-2905,07/02/1975,038.524.716-80
Cauã Nogueira,"Passarela Marques, 40, Maria Tereza, 33305-317 Dias / DF",10-99829-8710,28/11/1933,870.462.395-92
Thiago Leão,"Morro Maysa Nascimento, 8, Canadá, 06890188 Mendonça Grande / PA",52-96692-9665,14/01/1998,528.094.176-01
Valentina Peixoto,"Chácara de Ramos, 32, Cabana Do Pai Tomás, 82710268 Garcia / MG",66-99213-3694,24/07/1969,426.809.153-05
Esther Moura,"Setor de Pereira, 99, Cônego Pinheiro 2ª Seção, 16423-740 da Paz / BA",23-96387-9703,04/08/1997,321.860.745-08
Dr. Felipe Nunes,"Rodovia Sampaio, 3, Nazare, 38980-400 Alves de Novaes / AM",71-91566-6602,09/09/1972,654.283.719-19
Cecilia Pastor,"Jardim Dias, 29, Calafate, 31606-294 Lima / AC",81-97354-6543,05/06/1999,681.049.753-66
João da Luz,"Colônia Gomes, 65, Satelite, 16826967 Novaes / AC",51-91437-3700,11/06/1987,928.304.675-74
Luiza Nogueira,"Vereda de Fernandes, 95, Conjunto Taquaril, 32921-394 Pires / RJ",42-98932-8457,15/06/1938,862.103.975-30
Luiz Felipe da Mota,"Lagoa Sá, 649, Vila Madre Gertrudes 3ª Seção, 42624848 Abreu Verde / MG",91-94592-8811,22/01/1934,928.510.346-42
Matheus Jesus,"Sítio Pedro Henrique Gonçalves, 53, Novo Ouro Preto, 48891352 Fernandes do Sul / GO",62-98609-1580,24/07/1951,734.690.852-00
Dra. Joana Ferreira,"Esplanada de Melo, 34, Nossa Senhora Aparecida, 05987271 Ferreira / RN",42-95609-1016,28/07/2000,574.180.936-75
Melissa Rios,"Recanto Moura, 15, Santa Rita De Cássia, 49985817 Aragão da Mata / SP",50-92523-4320,13/10/1954,609.382.174-96
Dr. Noah Abreu,"Recanto Carvalho, 45, Lorena, 33096385 Fonseca / BA",53-99377-5884,12/12/1967,153.840.792-23
Kaique Pastor,"Alameda Liam Pimenta, 876, Ermelinda, 49519613 Correia / RN",50-96887-1477,09/10/1977,657.423.091-80
Manuela Vieira,"Núcleo de Gonçalves, 6, Conjunto Providencia, 14692960 Sales / PE",80-95754-4656,25/04/1938,963.720.148-31
Catarina Garcia,"Loteamento Pereira, 3, Estrela Do Oriente, 61207966 Aparecida / PI",35-95086-8869,21/06/1954,914.725.603-61
Luiz Henrique Ribeiro,"Distrito Arthur Miguel Novaes, 904, Vila Piratininga Venda Nova, 87850834 Aparecida do Galho / PR",17-99253-1766,20/04/1982,014.837.652-53
Dr. Daniel Leão,"Condomínio de Aparecida, 35, Jardim América, 17821-448 Dias / MA",73-96581-7855,18/03/1943,230.457.916-70
Ester Nascimento,"Área Luiza Nogueira, 5, Graça, 33090652 Freitas do Norte / DF",14-92349-7066,16/01/1970,563.492.718-82
Henrique Pires,"Avenida Moreira, 64, Carlos Prates, 71268837 Viana / PI",50-99667-3193,20/03/2006,237.415.680-07
Diego Vasconcelos,"Condomínio Silva, 21, São Paulo, 95204200 da Mota da Prata / MA",61-97238-3115,19/08/1969,276.845.019-76
Sr. Bruno Sá,"Rua de Caldeira, 686, Flavio Marques Lisboa, 09717828 Sampaio de Silveira / MT",83-91355-2824,23/10/1991,267.041.893-78
Maria Alice Albuquerque,"Estrada Costela, Ventosa, 83577401 Borges de Castro / MT",47-97544-5966,31/08/1995,206.971.458-67
Felipe Brito,"Estrada Rios, 95, Flavio Marques Lisboa, 49899421 da Luz Grande / RJ",42-99763-7904,16/02/1977,284.675.130-71
Sra. Olivia da Cunha,"Praia de Lima, 88, Paulo Vi, 34021-132 Peixoto / PR",72-99919-2461,05/01/1992,017.564.982-02
Ana Liz Vieira,"Fazenda Bruno Silva, 54, Cardoso, 30731-298 da Rocha do Campo / MS",89-97671-1147,06/11/2002,752.496.138-37
Pedro Câmara,"Colônia Júlia Andrade, 746, Vila Real 1ª Seção, 73538-503 da Rosa / BA",67-94803-9793,09/08/1939,931.756.028-86
Srta. Heloísa Andrade,"Praia Rios, 24, Alto Caiçaras, 48288330 Garcia Verde / AL",22-96394-4432,05/03/1936,768.042.391-13
Oliver Dias,"Praia Diogo Pacheco, 263, Primeiro De Maio, 14447639 Peixoto de Mendes / SP",92-94811-1814,23/01/1940,738.942.650-00
Davi Lucas Barbosa,"Colônia da Costa, 99, Santa Cecilia, 05604341 Monteiro / RR",61-92575-7470,17/09/1994,680.419.375-00
Pietro Vargas,"Esplanada de Pinto, 88, Vila Minaslandia, 10476-816 Borges / SP",63-94847-4932,19/03/1964,764.950.832-38
Beatriz Macedo,"Lagoa Joaquim Machado, 33, Miramar, 57694606 Siqueira / SE",54-93289-5510,07/12/2001,673.984.512-37
Sr. Noah Cardoso,"Condomínio Maria Luísa da Mata, Boa Viagem, 56138838 Pereira de Fonseca / MA",74-98359-5582,26/04/1953,378.160.924-31
Olivia Alves,"Lagoa Yasmin da Rosa, 383, Alto Das Antenas, 70736487 Lopes do Oeste / PA",55-94904-7643,17/11/2003,209.647.318-78
Julia Lopes,"Pátio de Vargas, 33, Santa Terezinha, 70378180 Cunha / PI",13-96586-6324,14/09/1993,148.503.792-14
Dra. Maria Fernanda da Conceição,"Setor Cecilia Aparecida, 569, Concórdia, 34367-427 Vieira / DF",59-97197-9200,20/09/1965,258.039.746-92
Isabel Pereira,"Estação de Melo, 19, Vila Betânia, 76098313 Silveira / RN",17-93489-5118,07/05/1941,397.250.841-79
Sophie da Rosa,"Rua Fernandes, 657, Conjunto Celso Machado, 51641-189 Novaes do Galho / RS",26-93411-8656,19/02/1946,169.274.058-01
Benício Sales,"Núcleo Borges, 72, Acaiaca, 10474-049 Ribeiro de Albuquerque / MS",66-99263-9221,10/03/1976,014.269.853-98
Maria Helena Santos,"Estação Larissa Mendes, Centro, 40260404 da Rosa / MT",90-96354-2528,06/11/1933,983.127.465-28
João Miguel Abreu,"Quadra de Camargo, Dom Cabral, 05680697 Vieira das Flores / GO",22-94833-4511,23/09/1970,591.027.348-50
Dr. Yan Sampaio,"Morro Maria Clara Cunha, 16, Serra, 75387-936 Pastor / RO",22-93543-8316,26/02/1976,567.804.293-92
Léo Sousa,"Chácara Raul da Rosa, 73, Coqueiros, 59150374 Casa Grande / SP",43-95539-1758,04/01/2004,842.950.716-76
Emanuel Porto,"Rua Viana, Vila Mantiqueira, 36721347 Nogueira / MS",19-97972-2437,12/11/1979,768.139.504-01
Yago Cunha,"Esplanada Lucas Gabriel Pereira, 29, Jardim Vitoria, 70109-327 Alves / MS",46-98979-1301,28/06/1968,569.032.817-03
Bernardo Vargas,"Conjunto Aparecida, 93, Vila Coqueiral, 22822118 Cavalcanti / PR",79-97282-9393,24/02/1934,594.120.387-04
Maria Flor Ribeiro,"Vale Emanuelly Melo, 73, Ademar Maldonado, 22245353 Costela / AC",42-96811-4070,30/12/1940,659.237.048-38
Marcelo Albuquerque,"Lago de Pastor, 62, Mineirão, 98000-312 Campos do Oeste / PI",29-97625-8004,01/01/2005,314.520.687-71
Lucca Costela,"Favela de Fonseca, 19, Vila Havaí, 48508-839 Novaes dos Dourados / RO",88-96145-4813,30/12/1979,968.275.341-46
Maria Isis Mendes,"Alameda Alves, 48, Ribeiro De Abreu, 34251883 Fogaça de Minas / AL",76-99336-6281,10/11/1998,487.621.035-71
Pedro Henrique Caldeira,"Largo Mariane Ribeiro, Tupi A, 84834933 Almeida / AM",14-97176-5187,01/03/1982,109.628.543-60
Luiz Otávio Araújo,"Lago de Sá, 72, Glória, 61845-059 Silva da Serra / SP",85-97706-4365,08/02/1995,034.219.685-51
Milena Silva,"Lagoa Sales, 74, Vila Da Amizade, 56047636 da Cunha / SE",30-94793-8984,28/04/1955,345.910.627-16
Caio Cassiano,"Campo de Ramos, 11, Vila Puc, 64518303 Martins / RO",49-97191-5474,12/02/1985,268.134.795-55
Luiz Felipe Pimenta,"Rodovia Mendes, 60, Engenho Nogueira, 21627-136 Cavalcanti Grande / AM",57-92850-5834,11/01/1960,326.740.598-00
Dra. Ana Júlia Viana,"Chácara Emanuelly Borges, 487, Garças, 83539221 Castro / MT",13-94601-4366,30/01/1995,526.308.741-17
Ana Rios,"Parque Daniela Vieira, 557, Conjunto Santa Maria, 47057-296 Borges / ES",17-94493-5855,05/07/1986,970.851.642-20
Marcela Sá,"Viela Vitor Aparecida, 2, Carlos Prates, 34719626 Almeida de Sá / GO",37-97390-2157,05/01/1938,358.170.246-08
Anthony Ramos,"Distrito de da Rocha, 33, Barro Preto, 02531699 Pires da Mata / RJ",65-92019-3501,10/12/1984,025.493.167-70
Dra. Isabel Câmara,"Rua Raul Silva, 57, Vila Santa Monica 1ª Seção, 57118207 Leão / AP",46-99473-3320,30/12/1935,173.264.089-04
Ryan Câmara,"Trevo Ana Vitória Almeida, 53, Mala E Cuia, 53394775 Brito / DF",23-97077-9090,21/08/2005,716.293.458-73
Antonella Aparecida,"Lago Pastor, 46, Biquinhas, 56265-669 Dias / TO",97-94172-4282,04/02/1973,508.679.324-65
Valentim Ribeiro,"Ladeira Mathias Cirino, 27, Zilah Sposito, 70290028 Santos do Norte / TO",53-99864-4300,10/04/1997,901.657.284-85
Sr. Arthur Garcia,"Estação de Castro, 833, Vila Jardim Leblon, 22157-883 Viana / MA",23-94957-7317,16/08/1984,892.513.074-23
Hadassa Moraes,"Colônia Jesus, 4, Conjunto Floramar, 31666520 Brito do Campo / AL",34-92957-4990,17/01/1945,243.561.807-71
Rafaela Castro,"Travessa Léo Costela, Vila Da Paz, 39713655 Sales das Pedras / AC",37-97767-8462,15/01/1965,826.109.753-68
Heloisa Melo,"Condomínio Rocha, 62, Vila Nova, 37877638 da Conceição do Amparo / RR",31-93264-8325,25/08/1978,175.368.042-53
Mateus Almeida,"Condomínio Sales, 1, Cachoeirinha, 98482-437 Peixoto / MT",25-99887-4461,20/04/1986,140.283.957-04
Caio Rios,"Feira Luna Aragão, 68, Alto Vera Cruz, 36631-894 Araújo / RJ",74-96787-2573,18/11/1978,038.167.954-39
Sr. Oliver Viana,"Jardim Sales, 2, Jardim América, 36765-568 Gonçalves Verde / MT",80-98282-5542,30/10/1933,148.623.509-33
Laura Duarte,"Núcleo Monteiro, 103, Vila Madre Gertrudes 3ª Seção, 77200981 Marques / MA",10-92102-4083,21/09/1993,541.973.268-82
Ísis Teixeira,"Distrito Ana Júlia Aparecida, Jardim São José, 50025-611 Leão / RS",38-98051-6370,29/09/1998,136.078.924-31
Ayla Macedo,"Loteamento de Leão, 87, Marieta 2ª Seção, 73596-635 Rios do Oeste / AM",46-99545-4564,07/03/1996,831.674.520-80
Vitor Marques,"Trecho Sá, 89, Cidade Nova, 22939-924 Mendonça / PR",29-93766-1833,03/09/1943,608.291.574-76
Mariah Silveira,"Pátio Cirino, 612, Jardim Dos Comerciarios, 65907-983 Sampaio da Praia / RN",43-93202-3627,01/02/1983,701.569.834-00
Sra. Clara Brito,"Quadra Clarice da Luz, 55, Vila Paquetá, 21685-727 Caldeira / RO",56-99370-1531,16/02/1963,435.607.829-29
Léo Nascimento,"Área Abreu, 8, Nova Cintra, 67914605 Viana / DF",80-91007-1452,27/06/1984,251.730.649-43
Gael Henrique Mendes,"Avenida de Correia, 97, Itatiaia, 74332-481 Porto de Caldeira / RO",23-98467-2947,29/06/1946,982.745.103-05
Sr. Ian Nascimento,"Quadra de Cassiano, 51, Barão Homem De Melo 1ª Seção, 05891825 Azevedo / RR",45-94909-6844,29/04/1956,176.240.539-34
Bianca Silva,"Sítio Campos, 8, Santa Tereza, 95033-777 Silveira / BA",55-98865-4767,11/09/1984,680.931.472-50
Dr. Juan Silva,"Jardim Lívia Almeida, 79, Unidas, 55328144 Novais / AP",64-96001-3443,24/02/1973,742.831.590-50
Pedro Lucas Correia,"Praça de Fonseca, 143, Marieta 2ª Seção, 49840-389 Costa / SE",81-99745-6377,27/05/1940,816.543.209-51
Théo Peixoto,"Pátio de Pereira, 803, Biquinhas, 46005-457 Cavalcante / RJ",98-99615-9306,02/05/1964,197.324.685-64
Hellena da Cunha,"Estrada Leandro Casa Grande, 9, Ernesto Nascimento, 88338680 Montenegro Paulista / ES",69-95788-3297,13/09/1957,895.472.130-32
Sr. Diogo Viana,"Fazenda de Abreu, 74, Monte Azul, 26299-133 Rodrigues / RN",21-98989-4404,04/01/1934,160.342.975-16
Ana Liz Barbosa,"Largo da Mata, 91, Silveira, 53380905 Abreu de Siqueira / PB",31-94648-2813,08/08/1959,270.453.186-26
Theodoro Sales,"Rodovia Rafaela da Costa, Alto Das Antenas, 06273-026 Pereira / PR",82-96881-3386,15/05/1996,261.405.387-26
Yasmin Machado,"Distrito de da Paz, 53, Novo Glória, 02448017 Sousa / PB",80-93798-6163,14/08/1961,016.438.275-53
Sofia Farias,"Largo de Caldeira, 5, Serrano, 23575-498 Carvalho das Pedras / MG",87-96440-3433,27/04/2003,824.690.573-29
Otto Novaes,"Campo Mirella da Rosa, 65, São João Batista, 26915269 Dias / ES",66-95192-2215,24/08/1989,325.067.918-68
João Miguel Fernandes,"Recanto Jesus, 5, Mangabeiras, 79306552 Monteiro / BA",98-99693-5270,27/08/2003,857.493.026-10
Jade Mendonça,"Loteamento Lavínia Mendes, 8, Boa União 2ª Seção, 01996-934 da Rosa do Oeste / SE",75-98413-7216,12/10/2001,518.394.206-42
Luna Viana,"Residencial de Novaes, 27, Marieta 3ª Seção, 35763-881 Câmara / TO",79-96447-8701,27/09/1961,750.419.628-20
Ana Sophia Fernandes,"Ladeira Larissa Moreira, 6, Nova America, 67841612 Mendes / GO",46-91096-1942,02/04/1941,065.382.417-35
Benício Abreu,"Viaduto de Pimenta, 1, Nova Granada, 49546718 Vieira de Machado / RN",12-96394-2194,12/10/1938,832.719.064-40
Dra. Maya Vargas,"Setor Hellena Silva, 27, Goiania, 98090643 Porto / PB",86-95446-6887,03/01/2006,096.235.187-30
Srta. Fernanda da Mata,"Praça Maria Flor da Cunha, 741, Jardim Felicidade, 04034-210 Andrade / SC",88-95468-2447,18/10/1980,432.058.691-33
Caroline Caldeira,"Vila Diogo Viana, 61, Buraco Quente, 62599887 Albuquerque do Campo / SE",48-94838-7003,11/02/1960,387.621.045-35
Heloisa Campos,"Avenida Rafael Pereira, 63, Funcionários, 42907839 da Mata / SE",45-99446-7384,26/10/1976,052.648.391-15
Benjamin Melo,"Área Porto, Jardim Leblon, 22066-891 Leão / PA",84-98682-5536,22/11/1987,178.260.954-76
Yago da Cunha,"Praça Thales Sousa, 14, Conjunto Serra Verde, 54349-296 da Mota / GO",29-93748-4393,16/08/1964,910.742.538-41
Thales Viana,"Jardim Campos, 93, Conjunto Jatoba, 64910-311 Moraes Grande / PI",46-92402-2932,12/05/1994,054.362.918-05
Fernando da Rosa,"Trevo Isis Alves, 73, Vila Sumaré, 66020-427 Silveira do Oeste / RJ",10-96338-7259,19/08/1987,293.175.680-68
Cauã Cunha,"Jardim Dom Pastor, 32, Confisco, 77609-903 Duarte do Norte / BA",77-94818-1241,21/04/1944,415.208.736-62
Luiz Fernando Novaes,"Sítio da Rosa, 562, Jaraguá, 37294-866 Vargas de Minas / AM",93-96614-9800,11/08/1993,059.132.864-05
Melina Cardoso,"Favela Eloah da Paz, 29, Vila Mangueiras, 93615908 Barros de Minas / AP",16-92661-2454,20/01/2003,593.406.781-84
Antony Farias,"Residencial de Castro, 76, Santa Isabel, 92779713 Mendonça / AP",51-91530-1997,08/02/2001,524.736.980-74
Stephany Pires,"Ladeira Samuel Camargo, 330, Havaí, 77036-205 Ferreira Alegre / MT",86-91724-5376,04/03/1969,935.768.420-47
Isadora Rios,"Favela Maria Luísa Costela, 54, Maria Virgínia, 46686792 Rodrigues / CE",57-97475-5506,17/06/1992,194.286.037-40
Theo Sá,"Rua de Rios, 82, Concórdia, 79683822 Vasconcelos da Prata / AP",11-96489-4926,08/11/1975,796.354.012-99
Isaac Castro,"Viela de Porto, 152, Novo Aarão Reis, 39364056 Silveira Alegre / SP",94-99949-9121,10/01/1982,596.270.843-10
Maria Cecília Fonseca,"Rua Olivia Fonseca, 85, Jaraguá, 84613-482 Casa Grande dos Dourados / AL",46-91480-7163,09/02/1960,201.764.359-99
Elisa Brito,"Distrito Lorenzo Gonçalves, 586, Novo Das Industrias, 09759-484 da Mata / MS",26-98511-1134,15/01/1952,823.645.710-90
Dr. Samuel da Rosa,"Pátio de Duarte, 76, Antonio Ribeiro De Abreu 1ª Seção, 26088-134 Fogaça Verde / BA",15-98788-4839,20/12/1982,932.816.574-19
Ísis Brito,"Feira Sampaio, 672, Conjunto Celso Machado, 00194-963 Jesus / RJ",83-94281-1412,19/08/1996,807.659.431-66
José Pedro Borges,"Trevo Benjamin da Paz, 39, Pindorama, 21220-721 Machado / RO",45-96537-4880,12/05/1973,651.023.978-77
Vitor Novais,"Praça de Borges, 532, Vila União, 13297-905 Monteiro / PR",35-99661-1085,01/09/1936,284.713.906-04
Natália Nogueira,"Condomínio de Leão, 1, Vila Sesc, 96748421 Barbosa do Oeste / PA",16-96262-8094,28/07/1990,497.120.358-32
Zoe Lima,"Vereda de Alves, 453, Alto Barroca, 44688881 Siqueira de Teixeira / SC",73-92528-2725,06/01/1980,023.961.587-59
Srta. Sara Vieira,"Sítio de Fernandes, Vila Satélite, 12667121 Moreira / MA",71-92736-9578,10/10/1993,453.962.781-37
Ana Sophia Santos,"Conjunto Olivia Cirino, 385, Jardim Alvorada, 99537375 Farias de da Cruz / PB",15-99187-7362,18/06/1992,302.948.651-60
Rebeca Leão,"Conjunto de Cunha, 30, Mantiqueira, 37933-094 Albuquerque / RR",34-95228-8060,06/08/1968,935.601.824-33
Leonardo Alves,"Ladeira Nascimento, 2, Maria Tereza, 92858-456 Mendes Grande / GO",85-99523-9164,09/06/1987,805.724.963-38
Theo Costa,"Praça Gael Montenegro, 3, Liberdade, 57886-835 Pereira / CE",55-93957-5473,04/02/1993,138.057.942-23
Kaique Marques,"Vila Davi Lucas Novaes, 41, Garças, 69753-173 Rocha das Flores / PB",73-93195-6499,23/04/1953,351.208.769-86
Stephany Pimenta,"Praia Bryan Cavalcanti, Pantanal, 90022-732 Pinto / DF",97-97937-3909,27/08/1933,621.430.975-06
José Miguel Pereira,"Residencial João Gabriel Fogaça, 92, Conjunto Novo Dom Bosco, 97677845 da Paz da Mata / SP",52-98214-4469,26/09/1995,041.673.825-71
Rafaela das Neves,"Via Sá, 29, Taquaril, 81164-971 Nogueira de Novaes / RJ",30-95977-7561,29/06/1961,215.674.930-25
Maria Julia Jesus,"Praça de Farias, 4, Ermelinda, 26862381 Mendonça da Mata / MA",60-91252-7994,14/09/1944,713.245.690-34
Ravi Lucca Rodrigues,"Viela de Alves, 12, Vila Pilar, 42466970 Gonçalves da Praia / SP",25-93258-4430,11/11/1936,546.820.391-05
João Vitor Oliveira,"Morro Cauê Sá, 6, Saudade, 25550705 Rios Verde / RR",12-96150-8818,31/01/1979,870.213.465-90
Nicole Araújo,"Vila de Lopes, Califórnia, 85526-643 Macedo de Dias / MA",66-94177-8131,14/03/1971,287.153.609-03
Maria Júlia Araújo,"Fazenda da Cruz, Túnel De Ibirité, 61279034 Pacheco / AM",47-93769-1262,01/05/1960,659.784.230-83
Gustavo Henrique Cirino,"Trevo de Novaes, 78, Bacurau, 18695-400 Cirino / SP",76-99994-8129,08/05/1972,807.126.953-03
Clarice Pimenta,"Distrito Ferreira, 64, Conjunto São Francisco De Assis, 64503065 Brito de Barros / CE",79-93866-8821,25/07/2003,479.108.623-69
Sr. Breno Barbosa,"Rodovia Almeida, 32, Flavio De Oliveira, 08464076 da Mata / AM",70-92751-6070,14/01/1980,836.910.745-10
